Question,Option_A,Option_B,Option_C,Option_D,Answer
What is the concentration of Na + around the red blood cell and K + ions in the cytoplasm?,Na+ concentration is high and K + low.,Na + and K + concentrations are low,Na concentration + and K + high,Na+ concentration is low and K + high.,C
What regularly maintains the acid-base balance in the cell at a certain level?,Core,Centrosome,Peroxisome,Plasmolemma,D
In which model of the cell membrane structure are protein globules evenly distributed throughout the fat layer?,Cell model,"Model ""Mosaic""",Devson and Daniel model,Mathematical model,C
Who proposed the “mosaic” model of the structure of the cell membrane?,In 1842 Boveri and Flemming,In 1972 Devson and Daniel,"In 1892, Singer and D.I. Ivanovsky","In 1972, Singer and Nicholson",D
"According to which model, the membrane consists of a mobile mosaic in which proteins penetrate the fat layer in different ways?",Mosaic model.,Devson and Daniel model,Cell model,Mathematical model,A
What are the different organelles?,General and specific organelles,Essential and unnecessary organelles,Mono and poly organoids,Temporary and permanent organoids,A
Which belongs to the group of common organelles.,"Mitochondria, endoplasmic reticulum, ribosome, Golgi complex, lysosome, cell centrosome, peroxisome","Myofibrils, tonofibrils, neurofibrils, flagellum, eyelashes and marginal microvilli","Mitochondria, lysosomes, centrosome, micro tubes, flagellum, eyelashes and marginal microvilli","Ribosomes, Golgi complex, lysosomes, peroxisomes, myofibrils, tonofibrils, neurofibrils",A
Specify specific organelles?,"Mitochondria, Golgi complex, lysosomes, centrosome, micro tubes, flagellum, eyelashes","Myofibrils, tonofibrils, neurofibrils, flagellum, eyelashes and marginal microvilli","Ribosomes, Golgi complex, lysosomes, peroxisomes, myofibrils, tonofibrils, neurofibrils","Mitochondria, intracellular network, ribosomes, lysosomes, cell center centrosome, peroxisome and microtubules",B
"What set of cations is present in the granules of the inner mitochondrial fluid, which is an electron-dense round granule in the matrix?","Magnesium, manganese","Magnesium, sodium","Potassium, calcium","Calcium, magnesium",D
Who first came up with information about the cell?,"I.V. Michurin, Morgan","N. I. Vavilov, Darwin","R. Virchow, Lamarck","R. Guk, A. Levenguk",D
Modern definition of cell theory.,The nucleus is the main organelle,Cells reproduce by dividing,Life cell form,Cell is the smallest unit of life,D
R. Virchow's statements about the cell?,A cell is formed by division of an existing cell,The cell stores genetic information,DNA plays an important role in regulating cellular activity.,Functional cell block,A
The vacuolar system of the cell is………..,"Mitochondria, ribosome","Mitochondria, centrioles","Mitochondria, plastids","Golgi apparatus, endoplasmic reticulum",D
Find a double-membrane cell organelle.,Mitochondria,Ribosome,Golgi apparatus,Lysosome,A
What is hyaloplasm?,Colorless colloidal system of cytoplasm,Chemical substance,Organoid,DNA,A
To which cytoplasmic system do microtubules and microfibrils belong?,Organoids,Musculoskeletal _ _,Additional _,Reproduction,B
What is the structure of the plasma membrane?,Microtube complex,Contains proteins and DNA,Lipoprot e new complex,Microfibril complex,C
What is pinocytosis?,Absorption of solid particles through the membrane,Type of cell division,passage of water and substances dissolved in water through the membrane,"Pinos-love, cytoz-cell",C
Which cells have the most mitochondria and inclusions?,In liver cells,In spleen cells,In living cells,In blood cells,A
In which organs is the granular endoplasmic reticulum developed ?,"Stomach, liver, kidneys","Pancreas, liver","Spleen, liver","Kidneys, blood",B
In which organs is the smooth endoplasmic reticulum developed?,In the liver,"Pancreas, some glands in the digestive tract","Pancreas, liver, intestines","Stomach, liver, kidneys",B
Determine the diameter of ribosomes,35 nm,45 nm,25 nm,15 nm,D
How are ribosomes structured?,"small, round electron-dense structures of the same size.",It is a large round electron-dense structure of the same size.,"It is a very small, elongated, diffuse structure of the same size.","It is a small, round, electron-dense structure of varying sizes.",A
"Characteristics of the outer membrane of mitochondria. 1 - smooth, 2 - wrinkled, 3 - with large pores, 4 - with small pores 5 - ADP, phosphate, pyruvic acid.","1,3,5","2,3,5","1,3,4,5","2,4,5",A
Determine the property inherent in the inner membrane of mitochondria.,"extracting energy from their chemicals in the process of oxidative phosphorylation, cellular respiration",Redox enzymes located in the membranes that form the lymph nodes ensure cellular respiration.,Redox enzymes located in the membrane that produce hormones ensure cellular respiration.,"Redox enzymes located in the membrane, forming nodules, ensure cellular respiration.",A
Which scientist called the reticular structure of nerve cells the Golgi apparatus?,Flemming in 1842,In 1892 D. I. Ivanovsky,1898 K. Golgi,"In 1972, Singer",C
In which cells is the Golgi apparatus (complex) most developed?,In spleen cells,In glandular cells,In blood cells,In liver cells,B
"Which organelle, when viewed under an electron microscope, appears to consist of a stack of rolls, a system of tubes with bubbles at the ends ?",Golgi apparatus,Lysosome,Endoplasmic reticulum,Mitochondria,A
"The function of which organ is aimed at concentrating, dehydrating and compacting intracellular secretion products and substances received from outside, intended for release from the cell.",Mitochondria,Endoplasmic reticulum,Lysosome,Golgi complex,D
Which organelle is an electron-dense substance with spherical vesicles with a diameter of 0.5–0.8 µm,Endoplasmic reticulum,Lysosome,Mitochondria,Golgi complex,B
"By means of pinocytosis and phagocytosis, substances entering the cell from the outside are digested. This -",Heterolysosome,Heterophagosome,Peroxisome,Autophagosome,A
Where do lysosomes mature?,In mitochondria,In the Golgi complex,In the endoplasmic reticulum,In the nucleolus,B
What are the different types of lysosomes?,Primary (inactive) and secondary,Temporary permanent,"Endogenous, exogenous",Digestive and enzymatic,A
Find the characteristics of a centriole.,"Inner hollow, diameter 10 nm, length 3-500 nm","Hollow, diameter 15 nm, length 30-50 nm","Hollow, diameter 150nm, length 300-500 nm","Hollow, diameter 50 nm, length 10-100 nm",C
When was the peroxisome as a separate structure described in science?,1968s at first,in the early 1970s . G,1870s at first,in the early 1960s,D
"Which cellular organelle has an electron-dense center and contains enzymes (urate oxidase, catalase)?",Heterolysosome,Peroxisome,Exoergonic,Endoergonic,B
What are microtubules made of?,From carbohydrates,From the sebaceous glands,From the protein tubulin,From a trace element,C
How many inclusions does a cell contain?,"4 types: trophic, secretory, excretory and pigmentary","3 types: trophic, secretory, excretory","3 types: trophic, excretory and pigmentary","2 types: trophic, secretory",A
"What type of carbohydrate in the diet is stored as glycogen, especially in liver and muscle cells?",Trophic,excretor,Secretary,Pigmentary,A
What type of inclusions in the form of electron-dense secretory cells contains various enzymes and biologically active substances and is a product of the activity of glandular cells,Trophic,Pigmentary,Secret _ _,excretor,C
What type of inclusions performs the excretory function.,Secretary,Trophic,Excretory,Pigmentary,C
What type of inclusion is a substance that gives a cell a certain color?,Secretary,Pigmented,excretor,Trophic,B
What nutrients are trophic deposits.,"Protein, vitamin","Fat, vitamin","Carbonated, enzyme","Fats, carbohydrates, proteins",D
What plant cell inclusions are large vacuoles with essential oils in the cell?,Sequayadendron,E vcalyptus,palm,Saxophone,B
What is catabolism?,Plastic exchange,Exoergonic,Endoergonic,Assimilation,B
Is assimilation a process ?,Endoergonic,Catabolism,Exoergonic,Energy exchange,A
How many ATF molecules are destroyed during glycolysis?,20 molecules,8 molecules,36 molecules,2 molecules,D
Which decomposition occurs in the anoxic phase and occurs in the cytoplasm?,Basic decomposition,Preparation,Glycolysis,Aerobic decomposition,C
"Find specific properties of assimilation. 1- Energy intake from food 2- Substance intake from food: proteins, carbohydrates and fats 3- Endoergonic process",13 _ _,"1,2,3",12 _ _,"2 , 3",B
"Characteristics of dissimilation. 1- Decomposition of proteins into H 2 O and CO 2, 2- Energy consumption for the activity of internal organs and motor activity, 3- Decomposition of nitrogen compounds, fats and carbohydrates into H 2 O and CO 2",12 _ _,13 _ _,"2 , 3","1,2,3",D
What is the function of the cell wall in plants?,"Protection, turgor",Control of cell movement,Control of cell division,Control of cell proliferation,A
"Determine the sequence of structural levels of life. 1) cell, 2) biogeocenosis, 3) population, 4) molecule, 5) tissue, 6) organism, 7) biosphere, 8) organ","4,1,5,8,6,3,2,7","1,4,5,6,8,3,2,7","1,2,3,4,6,5,8,7","4,1,5,8,7,3,2,6",A
Identify a slow-onset disease that is caused by bacteria.,AIDS,Tuberculosis,Plague,Hepatitis,B
What is the cell wall of bacteria called?,Cellulose,Cellulose,Murein,Pectin,C
What substance does the cell wall of blue-green algae consist of?,Pectin,Murein,Cellulose,Cellulose,A
What are spherical bacteria called?,Bacillus,Vibrio,Spirillum,Cocci,D
What is the name of the blue pigment in the blue-green algae cell?,Phycotian,Chlorophyll,Carotene,Xanthophyll,A
"Identification of prokaryotic organisms: 1) tuberculosis bacillus, 2) yeast fungus, 3) chlorococcus, 4) chlorella, 5) nostoc, 6) Chlorella, 7) oscillatorium.","1,3,5,7","1,2,3,4","1,3,6,7","2,3,5,7",A
Find blue-green algae used for food.,Nostok,Hara,Nitella,Chroococcus,A
Identify eukaryotic organisms.,"spirogyra, yeast mushrooms","Bacteriophage, tulip","Mushroom , oscillatorium , amoeba","Nostoc, amoeba",A
What is the stem of lower plants called?,Thallus,Stem,Mycellium,Rhizoid,A
Which organelle does the definition refer to - its function - protein synthesis and its transport,Golgi apparatus,Smooth endoplasmic reticulum,Lysosome,Endoplasmic reticulum,D
"What is the non-helical, uncompressed part of a chromosome called?",Centriole,Chromatin,Cytoskeleton,Centromere,B
What is the totality of quantitative and qualitative characteristics of the set of chromosomes in a somatic cell called?,Karyotype,Haploid,Diploid,Chromatin,A
"According to which hypothesis, the chloroplast, mitochondria and nucleus have a double membrane?",Symbiosis,Intussusception,Deviation,Immigration,B
What are chromosomes of the same shape and size called?,Homologous,Centromeric,Haploid,Hetrological,A
How many chromosomes does a squid have?,104,48,106,46,A
What is formed from the structure of chromatin?,Chromosome,Chromonema,Centromere,Chromatid,A
What structures are involved in protein biosynthesis.,Transfer RNA,"Tubulin proteins , RNA","Peptides, RNA","DNA, RNA , amino acid",D
Differences in the shape of chromosomes depending on the location of the centromere (primary belt) in them?,"3: metacentric, submetacentric and acrocentric.","3: metacentric, telomeric and acrocentric.",2: metacentric and acrocentric,"4: metacentric, submetacentric, telomeric and telocentric .",A
What are equal-armed chromosomes called?,Telocentric,Acrocentric,Metacentric,Submetacentric,C
What are unequal-armed chromosomes called?,Metacentric,Submetacentric,Acrocentric,satellite new,B
In which chromosomes is the centromere the last chromosome? (telomere) one arm of the chromosome is very short and rod-shaped.,Metacentric,Acrocentric,Submetacentric,Telocentric,B
What are the very well colored parts of a chromosome called?,Chromatid,Chromonema,Chromatin,Chromomere,D
What is formed from the nucleoprotein complex formed by chromatin-containing DNA nucleohistones and parts together?,Mono and polychromatin,Chromatid and chromosome,Hetero and euchromatin,Chromatid and chromonema,C
How long does the prophase phase last?,6-40 min,10-100 min.,4-25 min,9-30 min.,B
"Indicate the properties of the prophase period 1. Chromosomes of bichromatids twist in a spiral, do not shorten or thicken, 2. The nuclear envelope and nucleus dissolve, 3. Mitotic threads begin to form.",1.2,1.3,"1,2,3",2.3,D
How long does the metaphase phase last?,6-40 min.,4-25 min,9-30 min.,10-100 min.,A
Determine the characteristics of the metaphase period. 1. Chromosomes of bichromatids move along the equator of the cell 2. mitotic threads are attached to the centromeres of chromosome 3. 2n2c,"1,2,3",1.2,2.3,1.3,B
How long does the anaphase phase last?,9-30 min.,6-40 min,4-25 min.,10-100 min.,C
"Determine the characteristics of the anaphase period. 1. Centromeres divide, 2. Chromatids (daughter chromosomes) divide by dividing mitotic chains at the poles of the cell, 3. 2 n 4 c , 4. Each pole has as many chromosomes as the mother cell has.","1,3,4",1.3,"1,2,4","1,2,3",C
How long does telophase last?,4-25 min,6-40 min,10-100 min.,9-30 min.,D
"What is the biological significance of mitosis? 1- During mitosis, two daughter cells (2n2c) are formed from a mother cell (2n4c), 2- Each daughter cell has a chromosome similar to the mother cell , 3- Mitosis ensures an even distribution of genetic material",1.3,2.3,"1,2,3",1.2,C
Determine the method of reproduction characteristic of bacteria and ciliates?,conjugation,Schizogony,Ovogonia,Copulation,A
How many types of gametogamy are there in copulation?,Type 2: isogamy and heterogamy,Type 2: isogamy and polygamy,"3 types: isogamy, heterogamy and oogamy","3 types: isogamy, polygamy and ugamy",C
Who was the first to use artificial parthenogenesis in rearing silkworms?,Nicholson (1972),Flemming (1842),A. Astaurov (1937),A.D. Tikhomirov (1885).,D
Who invented the method of reproduction by androgenesis?,Boveri (in 1842),HELL. Tikhomirov (1885).,Singer (1972),A. Astaurov (1937),D
What are the periods of prophase 1?,"Leptotene, zygotene, pachytene, diplotene, diakinesis","Liptotene, zygotene, pachytene, diplotene, interkinesis, diakinesis","Liptotene, zygotene, paxiten, interkinesis","Liptotene, zygotene, diplotene, diakinesis",A
"At what stage of prophase I do the chromosome strands, which are actually made up of two chromatids, form thin strands. As the chromosome thickens and curls, threads begin to appear in the chromatin and the chromomeres become more pronounced.",Diplotena,Leptotene a,Zygote,Pachytena,B
What is the basis of biological evolution?,Fight for survival,Individual development,Artificial selection,natural selection,D
"Which scientist, in what year, introduced the term “evolution” into science?","Darwin, 1859","A. Sturtevant, 1902","Hardy, 1908.","C. Bonnet, 1762",D
Which evolution is irreversible?,Biological,Atom ary,Galactic,Geological,A
Which of the following works was written by Aristotle?,"""History of Animals"", ""Origin of Species"".","“Origin of Animals”, “Parts of the Body of Animals”, “History of Animals”.","“The Origin of Animals”, “Philosophy of Zoology”.","“Parts of the body of animals”, “Philosophy of Zoology”.",B
Who created the doctrine of modern microevolution?,Boveri and Flemming,"Dobryansky, Timofeev-Resovsky","Darwin, Morgan","R. Virchow, Bonn",B
Who first introduced the term “population” into genetics?,Boveri in 1842,R. Brown in 1831,J. Purkinye in 1839,W. Johansen in 1903,D
Variation in the number of individuals in a population is an important evolution. Who was the first to notice the importance of this process and what did he call this process?,"Virchow's book ""Cellular Pathology"".","Aristotle ""History of Animals""","Lamarck ""Philosophy of Zoology""","Chetverikov S.S. ""Waves of Life""",D
What do you mean by geographic isolation?,Various obstacles appear in the area due to the fact that the species is divided into several groups,The same obstacles appear within the area due to the fact that the species is divided into many groups,Various obstacles appear in the area. Due to the fact that species can be grouped into several groups.,The same obstacles appear within the area due to the fact that the species live in groups in several groups,A
What species are called species that arose as a result of an increase or decrease in the number of chromosomes.,Aneuploidy,Allopolyploid,Autopolyploid,Anupolyploidy,A
Which years included Darwin's Beagle expeditions?,1830-1835,1836-1941,1831-1836,1800-1805,C
A form of natural selection that determines the preservation of adaptive traits of organisms under constant environmental conditions,Stabilizer selection,Stabilizing selection _ _ _,Disruptive selection,Sexual selection,B
A form of natural selection that favors only one direction of change in a trait and does not favor all others.,Sexual selection,Disruptive selection,Stabilizer selection,Driving selection,D
Who studied the phenomenon of genetic drift (genetic automatic processes)?,N.P. Dubinin and D.D. Romashev in 1931-32.,"F. G. Dobryansky, N. V. Timofeev-Resovsky 1937-1938","S. Wright, R. Fisher, N. P. Dubinin, D. D. Romashev in 1931-32.",Boveri and Flemming 1937-1938,C
"In what countries did Darwin spend five years on the Beagle ship and become acquainted with the flora and fauna of ancient and modern times, being a naturalist?","In the Atlantic, Pacific and Indian oceans, on many islands, Great Britain.","In the Atlantic, Pacific and Indian oceans, on many islands, in Australia, South Africa.","Australia, South Africa, London","On the southwest coast of South America, Korea.",B
What did Darwin discover during his voyage on the Beagle?,He recognized that there were only many similarities between animals that had died in the past and those that were now alive.,He recognized that there are many similarities and differences between existing animals and those that are still alive.,He acknowledged that there are many similarities and differences between plants that died in the past and those that are alive today.,He acknowledged that there are many similarities and differences between animals that died in the past and those that are now alive.,D
"By comparing the animals of North and South America, Darwin determined which South American animals were not found in North America?","Llama, tapir, sloth, anteater, armored animals","Llama, tapir, lazy, anteater, artiodactyls","Llama, tapir, pendant, anteater, ungulates","Llama, tapir, sloth, fish, armored animals",A
What is microevolution?,It is a mutational process that creates the material for genetic diversity and natural selection.,"This is a long-term, irreversible change in the gene pool of a population, which goes in a certain direction.",Diversity refers to the diversity of higher systematic units.,Leads to stratification within a population and to stratification within a species,D
What is macroevolution?,"This is a long-term, irreversible change in the gene pool of a population, which goes in a certain direction.",Leads to diversity of systematic units over species.,It is a mutational process that creates the material for genetic diversity and natural selection.,It occurs within populations and leads to the stratification of the species and its intraspecific diversity.,B
What is an elementary evolutionary phenomenon?,It is a mutational process that creates the material for genetic diversity and natural selection.,It occurs within populations and leads to the stratification of the species and its intraspecific diversity.,Diversity refers to the diversity of higher systematic units.,"This is a long-term, irreversible change in the gene pool of a population.",D
What is the elementary material of evolution?,The diversity of systematic units above species is indicated.,"This is a long-term, irreversible change in the gene pool of a population, which goes in a certain direction.",It occurs within populations and leads to the emergence of a species and its intraspecific diversity.,Mutations because they create material for genetic diversity and natural selection,D
In what year was Lamarck's Philosophy of Zoology published?,1814,1809 g,1812,1801,B
What is the result of natural selection?,organism,view,Strain,cell,B
"What is formed as a result of artificial selection? 1) breed, 2) variety, 3) species, 4) subspecies, 5) population, 6) strain",1.2.5,1.2.3,1.2.6,1.4.6,C
Which scientist expressed the first ideas in the field of embryology?,Empedocles,Theophrastus,Aristotle,Lamarck,C
"A collection of individuals that have existed for a long time within the range of one species and are relatively isolated from others, producing freely interbreeding offspring?",subspecies,view,Population,pride,C
"In ontogenesis, a brief repetition of phylogeny is called....",Biogenetically m law,Law of similarity of embryos,Cell theory,Law of homologous series,A
"What is the name of a group of individuals that are similar in morphological-anatomical, physiological-ecological, biochemical and genetic characteristics, occupying a natural habitat ?",view,Ecological community,Population,Subspecies,A
What is the main factor in the production of new varieties and varieties?,"Genetic variability, natural selection",Heredity and variability,Artificial selection and natural selection,"Genetic variability , artificial selection",D
"Which scientist combined species into genera, genus into family, family into orders, order into classes, class into subtypes, subtypes into types?",Lamarck,Darwin,Theophrastus,Lynn to her,D
"Who wrote ""Animal Parts""?",Theophrastus,Hippocrates,Aristotle,Fales,C
What doctrine of change and development takes place in the life of nature and society?,Biosphere,Evolution,Biology,Device,B
At what level of life does biogenic migration of substances occur?,Molecule,Biogeosinosis,Ontogenetic,Biosphere,D
What led to the theory of evolution of the biosphere by scientists.,"Vernadsky, Dubinin, Vavilov","Vernadsky, Sukachev, Tensley","Vernadsky, Chetvernikov, Tansley","Vernadsky, Vavilov, Turesson",B
Darwin explained the evolutionary mechanism and explained the evolution and formation of species. How did this lead to education?,"Like artificial selection, natural selection","Adaptation of species, emergence of species","Stability of the species, emergence of species",Evolutionary theory as an evolutionary doctrine,D
In what year was Darwin's most famous work published?,Appearance of the species 1875,Appearance of the species 1859,Appearance of the species 1839,Appearance of the species 1851-1854,B
Determine the main directions of evolution.,"Degeneration, disguise","Aromorphosis, idioadaptation, degeneration.","Aromorphosis, genetic change, adaptation","Idioadaptation, adaptation, disguise",B
An example of this is the pollination of plants in different ways.,Idioadaptation,Aromorphosis,Degeneration,Senogenesis,A
What is microevolution?,Towards evolutionary changes occurring within systematic units above species,Evolutionary changes within a species,The struggle for coexistence within a species and generation,Transition to a system in higher systematic units,B
What are the main theories of the origin of life? 1) creationism 2) origin of life 3) panspermia 4) biochemical evolution 5) synthetic 6) geocentric 7) heliocentric,"1,3,5,6,7","1,3,5,7","1,2,3,4","2,5,4,6",C
What are the main features of life?,"Self-education, development, reproduction","Self-renewal, self-reproduction, self-regulation","Self-renewal, growth","Self-government, growth and development, reproduction",B
How many chemical elements are in a cell?,60,50,70,80,C
Find the line that lists macronutrients.,"Zn, C, O, Co","Mg, J, Cr, Co","C, O, P, Fe","K, Na, Ca, F",C
Find the line that lists micronutrients.,"Zn, Co, Mn, J","Mo, C, O, Cr","Mg, Cl, Fe, Co.","K, Na, Ca, O",A
"What percentage of the cell mass is made up of the elements H , C , O , N ?",95%,97%,98%,96%,C
What elements ensure the passage of substances through the cell membrane?,"Na, K","Cl, Mg","K, Fe","Fe,Na",A
What element is contained in hemoglobin?,Cl,Mg,Na,Fe,D
What is the percentage of water in the tooth enamel layer?,50%,5%,90%,10%,D
How much water is in a plant cell?,10%,90%,50%,5%,B
What bond exists in a water molecule?,Hydrogen garden,Covalent bond,Ionic Garden,Metal garden,A
What elements are found in bone?,"Mg,Cl","P, Ca.","Ca, S","P,Na",B
What percentage of an organism's cell is made up of organic matter?,30-40%,20-30%,40-50%,50-60%,B
List the amino acids without a ring.,"Leysine, Lysine","Arginine, Tyrosine","Valine, Tyrosine","Tyrosine, Proline",A
Specify ring amino acids.,"Valin, Sistine","Lysine, Arginine","Proline, lysine","Tyrosine, Tryptophan",D
What role does blood protein play?,Excitability,Hormone,Transport,Catalyst,C
How many amino acids are there in natural proteins?,20 types,40 different,30 different,22 different,A
What are the names of proteins that are soluble in pure distilled water?,Renaturation,Denaturation,Globulins,Albumin,D
Find the line that lists the album.,Egg white,Chromaprotein,Blood protein,Lipoprotein,A
How much (%) protein is contained in cotton fiber?,93%,94%,95%,96%,C
What is polyploidy:,Chromosome shortening,Chromosome multiplication,Chromosome polarization,Chromosome separation,B
Which scientist and his students separated a virulent bacterium (S-type) with polysaccharide skin into small pieces?,Holden,Avery,Oparin,Miller,B
What is karyokinesis?,Nuclear fission,Copying chromosomes,i-RNA formation,Cytoplasmic division,A
What are species with separate habitats called?,Sympathetic species,Population types,Allatropic species,Genetic species,C
Species whose habitats merge with each other or are completely compatible with each other?,Allatropic species,Genetic species,Sympathetic views,Population types,C
"What is the evolutionary process that leads to the formation of relatively large, systematic groups of species - new generations, families and families?",Natural selection,Macroevolution,Microevolution,Artificial selection,B
What does the divergence of characters and properties mean in initially close groups of organisms during evolution ?,Replication,Degeneration,Convergence,Divergence,D
What progress (aromorphosis) characterizes the improvement in the evolution of the structure and function of the body?,Senogenesis,Aromorphosis,Idiomatic adaptation,Morphophysiological,D
What is senogenesis?,Postembryonic adaptation,Embryonic adaptation,Aromorphosis,Historical adaptation,B
What useful adaptations arise at certain stages of individual development and then disappear.,Senogenesis,Aromorphosis,Morphosiological regression,Idiomatic adaptation,A
"What substances, the action of which is aimed at enhancing and accelerating the formation and renewal of structural parts of cells, tissues, muscles, appear at the end of embryonic development and prolong embryogenesis?",Senogenesis,Deviation,Replication,Anabolic steroids,D
How does the transfer of a genetic factor from one bacterial cell to another occur when two bacterial cells walk side by side and stick to each other?,Transformation,Replication,Transduction,Conjugation,D
What is the combination of a nitrogenous base and ribose or deoxyribose.,Nucleic acid,Nucleoside,Nucleotide,Protein,B
What happens when a phosphoric acid residue combines with a nucleoside.,Nucleoside,Nucleic acid,Nucleotide,Protein,C
How do nucleotides join together to form a long chain of DNA or RNA?,Open chain,Disulfide bond,Phosphodiester swamp,Phosphoric acid,D
What are the genetic factors that are isolated from chromosomes and are capable of autonomous reproduction.,Transposon,Autonomous plasmid,Retrotransposon,Plasmids,D
Which scientist coined the term “plasmids”?,Avery in 1944,1928 Griffith,Lederberg in 1952,In 1889 R. Altmann,C
When and which scientist isolated a separate substance with acidic properties from the cell nucleus and called it nucleic acid,Altman in 1879,Altman in 1889,F. Miescher in 1889,F. Miescher in 1879,D
"Which scientist introduced the term nucleic acid to science and showed that the nucleus contains purine, pyrimidine and 5 atomic carbons (sugars) from nitrogenous bases in addition to phosphoric acid.",1952 Lederberg,Avery in 1944,In 1889 R. Altmann,1928 Griffith,C
"Which scientist determined that the amount of adenine in the DNA molecule of all organisms always corresponds to the amount of thymine, and guanine to the amount of cytosine?",1952 Lederberg,In 1889 R. Altmann,In 1950 E. Chargaff,1928 Griffith,C
Types of replication indicated by G.Sten in 1957. How does double-stranded replication of a DNA molecule occur?,"Conservative, semi-conservative, dispersive","Semi-conservative, dispersive","Conservative, dispersive","Conservative, semi-conservative",A
Stages of protein biosynthesis?,"Increased amino acid activity, elongation, termination","Increased amino acid activity, initiation, elongation, termination","Increased amino acid activity, initiation","Initiation, extension, termination",B
What do you mean by elongation?,Initiation of polypeptide chain synthesis,Elongation of the resulting polypeptide chain,Completion of polypeptide chain formation,Exchange and shortening of the polypeptide chain,B
What is initiation?,Elongation of the resulting polypeptide chain,Exchange and shortening of the polypeptide chain,Initiation of polypeptide chain synthesis,Completion of polypeptide chain formation,C
What is termination?,Elongation of the resulting polypeptide chain,Exchange and shortening of the polypeptide chain,End of polypeptide chain formation,Initiation of polypeptide chain synthesis,C
How is protein biosynthesis regulated in a cell?,"Inhibitor, suppressor","Repression, suppression, Inhibitor, suppressor","Inhibitor, suppressor, suppression","repression, inhibition",D
What is the name given to preventing the formation of enzymes involved in protein biosynthesis?,Inhibitor,Repression,Suppressor,Complementer,B
What is the decrease in the activity of enzymes involved in protein biosynthesis called?,Complementer,Suppressor,Repression,Inhibition,D
Who was the first to determine the variability of heredity?,1920 Koltsov,1901 De Vries,1869 Friedrich Miescher,1920 M.E.Labashev,B
Which scientist founded genetics?,1866 G. Mendel,1869 Johann Friedrich Miescher,1920 Koltsov,1920 M.E.Labashev,A
